Title,Genre,Year Release,Rating,Studio
That Time I Got Reincarnated as a Slime Season 3,"{'Comedy', 'Fantasy', 'Adventure', 'Action'}",2024,8.27,8bit
Mushoku Tensei: Jobless Reincarnation Season 2,"{'Ecchi', 'Drama', 'Fantasy', 'Adventure'}",2023,8.27,Studio Bind
Naruto Shippuden,"{'Fantasy', 'Adventure', 'Action'}",2007,8.27,Pierrot
Fate/Zero,"{'Fantasy', 'Supernatural', 'Action'}",2011,8.27,ufotable
The Dangers in My Heart,"{'Romance', 'Comedy'}",2023,8.26,Shin-Ei Animation
Space Dandy 2nd Season,"{'Comedy', 'Sci-Fi'}",2014,8.26,Bones
Miss Kobayashi's Dragon Maid S,"{'Slice of Life', 'Fantasy'}",2021,8.26,Kyoto Animation
KonoSuba: God's Blessing on This Wonderful World! 2,"{'Comedy', 'Fantasy', 'Adventure'}",2017,8.26,Studio Deen
Nodame Cantabile,"{'Romance', 'Comedy'}",2007,8.26,J.C.Staff
Planetes,"{'Romance', 'Drama', 'Sci-Fi', 'Award Winning'}",2003,8.26,Sunrise
Demon Slayer: Kimetsu no Yaiba Swordsmith Village Arc,"{'Fantasy', 'Action'}",2023,8.25,ufotable
Dororo,"{'Adventure', 'Supernatural', 'Action'}",2019,8.25,"Tezuka Productions, MAPPA"
Kaiju No. 8,"{'Sci-Fi', 'Action'}",2024,8.24,Production I.G
Is It Wrong to Try to Pick Up Girls in a Dungeon? IV Part 2,"{'Fantasy', 'Adventure', 'Action'}",2023,8.24,J.C.Staff
Golden Kamuy Season 2,"{'Adventure', 'Action'}",2018,8.24,Geno Studio
Mobile Suit Gundam: Iron-Blooded Orphans 2nd Season,"{'Drama', 'Sci-Fi', 'Action'}",2016,8.23,Sunrise
Re:ZERO -Starting Life in Another World-,"{'Drama', 'Fantasy', 'Suspense'}",2016,8.23,White Fox
Rascal Does Not Dream of Bunny Girl Senpai,"{'Romance', 'Drama', 'Supernatural'}",2018,8.23,CloverWorks
Kamisama Kiss Season 2,"{'Romance', 'Comedy', 'Fantasy'}",2015,8.22,TMS Entertainment
Spice and Wolf,"{'Romance', 'Fantasy', 'Adventure'}",2008,8.22,Imagin
Spice and Wolf: Merchant Meets the Wise Wolf,"{'Romance', 'Drama', 'Fantasy', 'Adventure'}",2024,8.22,Passione
Revolutionary Girl Utena,"{'Drama', 'Fantasy', 'Suspense', 'Mystery', 'Award Winning'}",1997,8.22,J.C.Staff
Heavenly Delusion,"{'Sci-Fi', 'Adventure', 'Mystery'}",2023,8.22,Production I.G
Trigun,"{'Sci-Fi', 'Adventure', 'Action'}",1998,8.22,Madhouse
